,imdb_id,original_title,avg_vote,release_year
3454,tt0055798,Birdman of Alcatraz,7.8,1962
1993,tt0088939,The Color Purple,7.8,1985
1987,tt0089218,The Goonies,7.8,1985
3030,tt0210945,Remember the Titans,7.8,2000
3219,tt0096874,Back to the Future Part II,7.8,1989
3432,tt0071360,The Conversation,7.8,1974
2703,tt0087553,The Killing Fields,7.8,1984
2679,tt0079417,Kramer vs. Kramer,7.8,1979
3378,tt0092991,Evil Dead II,7.8,1987
2685,tt0087332,Ghostbusters,7.8,1984
3337,tt0095647,Mississippi Burning,7.8,1988
800,tt0126029,Shrek,7.8,2001
385,tt0485947,Mr. Nobody,7.8,2009
340,tt0499549,Avatar,7.8,2009
3288,tt0101507,Boyz n the Hood,7.8,1991
2113,tt0358273,Walk the Line,7.8,2005
712,tt0144117,The Boondock Saints,7.8,1999
2735,tt0086197,The Right Stuff,7.8,1983
1725,tt0119174,The Game,7.8,1997
3461,tt0058385,My Fair Lady,7.8,1964
1718,tt0119177,Gattaca,7.8,1997
1812,tt1170358,The Hobbit: The Desolation of Smaug,7.8,2013
3224,tt0097441,Glory,7.8,1989
2063,tt0379786,Serenity,7.8,2005
2048,tt0414387,Pride & Prejudice,7.8,2005
3458,tt0058331,Mary Poppins,7.8,1964
1715,tt0120338,Titanic,7.8,1997
2347,tt0332280,The Notebook,7.8,2004
1591,tt2181931,English Vinglish,7.8,2012
914,tt0936501,Taken,7.8,2008
24,tt1596363,The Big Short,7.8,2015
3486,tt0100157,Misery,7.8,1990
3564,tt0106977,The Fugitive,7.8,1993
940,tt0914798,The Boy in the Striped Pyjamas,7.8,2008
1446,tt0903624,The Hobbit: An Unexpected Journey,7.8,2012
3723,tt0064665,Midnight Cowboy,7.8,1969
3552,tt0075029,The Outlaw Josey Wales,7.8,1976
1069,tt0780504,Drive,7.8,2011
38,tt1398426,Straight Outta Compton,7.8,2015
3603,tt0106364,Batman: Mask of the Phantasm,7.8,1993
1413,tt0109707,Ed Wood,7.8,1994
191,tt1646971,How to Train Your Dragon 2,7.8,2014
3602,tt0107943,The Remains of the Day,7.8,1993
2534,tt0765429,American Gangster,7.8,2007
3638,tt0061735,Guess Who's Coming to Dinner,7.8,1967
3651,tt0091042,Ferris Bueller's Day Off,7.8,1986
3586,tt0108550,What's Eating Gilbert Grape,7.8,1993
3589,tt0106489,A Bronx Tale,7.8,1993
3729,tt0077651,Halloween,7.8,1978
2532,tt0783233,Atonement,7.8,2007
163,tt2245084,Big Hero 6,7.8,2014
2559,tt0907657,Once,7.8,2007
1480,tt1748122,Moonrise Kingdom,7.8,2012
2254,tt0449059,Little Miss Sunshine,7.8,2006
3633,tt0061418,Bonnie and Clyde,7.8,1967
3464,tt0067992,Willy Wonka & the Chocolate Factory,7.8,1971
3576,tt0108358,Tombstone,7.8,1993
15,tt3460252,The Hateful Eight,7.8,2015
921,tt0421715,The Curious Case of Benjamin Button,7.8,2008
3635,tt0062467,Wait Until Dark,7.8,1967
2218,tt0472043,Apocalypto,7.8,2006
2202,tt0425210,Lucky Number Slevin,7.7,2006
1802,tt0118826,The Castle,7.7,1997
3539,tt0054047,The Magnificent Seven,7.7,1960
1623,tt0325710,The Last Samurai,7.7,2003
1734,tt0119008,Donnie Brasco,7.7,1997
3296,tt0101921,Fried Green Tomatoes,7.7,1991
512,tt0926084,Harry Potter and the Deathly Hallows: Part 1,7.7,2010
531,tt1285016,The Social Network,7.7,2010
1313,tt0268126,Adaptation.,7.7,2002
815,tt0265086,Black Hawk Down,7.7,2001
3121,tt0084855,The Verdict,7.7,1982
1121,tt1605783,Midnight in Paris,7.7,2011
1458,tt1772341,Wreck-It Ralph,7.7,2012
196,tt2980516,The Theory of Everything,7.7,2014
518,tt0398286,Tangled,7.7,2010
3698,tt0070034,Enter the Dragon,7.7,1973
349,tt1022603,(500) Days of Summer,7.7,2009
351,tt1119646,The Hangover,7.7,2009
3191,tt0147612,Happiness,7.7,1998
2483,tt0068473,Deliverance,7.7,1972
366,tt0327597,Coraline,7.7,2009
1816,tt1408101,Star Trek Into Darkness,7.7,2013
1753,tt0119822,As Good as It Gets,7.7,1997
166,tt2562232,Birdman,7.7,2014
3284,tt0101410,Barton Fink,7.7,1991
3326,tt0096438,Who Framed Roger Rabbit,7.7,1988
3566,tt0107818,Philadelphia,7.7,1993
802,tt0240772,Ocean's Eleven,7.7,2001
1448,tt1045658,Silver Linings Playbook,7.7,2012
3108,tt0084726,Star Trek II: The Wrath of Khan,7.7,1982
3662,tt0091605,The Name of the Rose,7.7,1986
159,tt1843866,Captain America: The Winter Soldier,7.7,2014
1614,tt0335266,Lost in Translation,7.7,2003
149,tt1365050,Beasts of No Nation,7.7,2015
1444,tt1074638,Skyfall,7.7,2012
194,tt1490017,The Lego Movie,7.7,2014
713,tt0151804,Office Space,7.7,1999
2049,tt0388795,Brokeback Mountain,7.7,2005
2681,tt0078902,Breaking Away,7.7,1979
84,tt1754656,The Little Prince,7.7,2015
2349,tt0372183,The Bourne Supremacy,7.7,2004
335,tt0076740,Sorcerer,7.7,1977
1258,tt1270798,X-Men: First Class,7.7,2011
2380,tt0308644,Finding Neverland,7.7,2004
3492,tt0100150,Miller's Crossing,7.7,1990
3424,tt0065207,Where Eagles Dare,7.7,1968
2843,tt0104348,Glengarry Glen Ross,7.7,1992
3017,tt0190590,"O Brother, Where Art Thou?",7.7,2000
27,tt2802144,Kingsman: The Secret Service,7.7,2015
2008,tt0088680,After Hours,7.7,1985
2546,tt0443706,Zodiac,7.7,2007
3433,tt0071230,Blazing Saddles,7.7,1974
3013,tt0249462,Billy Elliot,7.7,2000
2860,tt0104797,Malcolm X,7.7,1992
2861,tt0104691,The Last of the Mohicans,7.7,1992
2004,tt0089853,The Purple Rose of Cairo,7.7,1985
591,tt0817177,Flipped,7.7,2010
3621,tt0107282,The Joy Luck Club,7.7,1993
2245,tt0455590,The Last King of Scotland,7.7,2006
12,tt0470752,Ex Machina,7.7,2015
2956,tt0117381,Primal Fear,7.7,1996
2492,tt0080339,Airplane!,7.7,1980
1589,tt2258337,Eega,7.7,2012
2564,tt0381849,3:10 to Yuma,7.7,2007
3470,tt0067116,The French Connection,7.7,1971
1936,tt1821549,Nebraska,7.7,2013
3456,tt0058150,Goldfinger,7.7,1964
3466,tt0066999,Dirty Harry,7.7,1971
1297,tt0257044,Road to Perdition,7.7,2002
2375,tt0375679,Crash,7.7,2004
849,tt0277027,I Am Sam,7.7,2001
2840,tt0104257,A Few Good Men,7.7,1992
2410,tt0361862,The Machinist,7.7,2004
3642,tt0056869,The Birds,7.7,1963
698,tt0120601,Being John Malkovich,7.7,1999
3102,tt0083944,First Blood,7.7,1982
2329,tt0480025,This Is England,7.7,2006
3657,tt0090756,Blue Velvet,7.7,1986
219,tt2582846,The Fault in Our Stars,7.7,2014
822,tt0139654,Training Day,7.7,2001
3704,tt0070666,Serpico,7.7,1973
3390,tt0093389,The Last Emperor,7.7,1987
2436,tt0350258,Ray,7.7,2004
1649,tt0315733,21 Grams,7.7,2003
1468,tt1024648,Argo,7.7,2012
1804,tt1454468,Gravity,7.7,2013
973,tt0824747,Changeling,7.7,2008
2390,tt0328107,Man on Fire,7.7,2004
3636,tt0061578,The Dirty Dozen,7.7,1967
1394,tt0109445,Clerks,7.7,1994
1719,tt0119116,The Fifth Element,7.7,1997
2021,tt0330373,Harry Potter and the Goblet of Fire,7.7,2005
935,tt0887912,The Hurt Locker,7.6,2008
3199,tt0120802,The Red Violin,7.6,1998
